"Palabra","Palabra.1","Palabra.2","Palabra.3","Palabra.4","Palabra.5","Palabra.6","Palabra.7","Palabra.8","Palabra.9","Palabra.10","Palabra.11","Palabra.12","Palabra.13","Palabra.14","Palabra.15","Palabra.16","Palabra.17","Palabra.18","Palabra.19","Palabra.20"
"Lerma-Santiago, (Cuenca)","Lerma-Santiago (Cuenca)","Lerma-Santiago, Cuenca","Lerma- Santiago, Cuenca","","","","","","","","","","","","","","","","",""
"Responsabilidad del estado (Derecho internacional)","Responsabilidad del estado (Derecho Internacional)","Responsabilidad del Estado (derecho internacional)","Responsabilidad del Estado (Derecho Internacional)","","","","","","","","","","","","","","","","",""
"Málaga, España","Málaga (España)","Malaga, España","Malaga (España)","","","","","","","","","","","","","","","","",""
"Berlín, Problema de (1945-****)","Berlín, Problema de (1945-)","Berlín, Problema de, 1945-","Berlín, Problema de (1945- )","","","","","","","","","","","","","","","","",""
"Balboa, Vasco Núñez de","Núñez de Balboa, Vasco","Núñez de Balboa, Vasco de","Balboa, Vasco Núñez de,","","","","","","","","","","","","","","","","",""
"Trabajo-Oferta","Trabajo Oferta","Trabajo oferta","Trabajo-oferta","","","","","","","","","","","","","","","","",""
"Sudoeste Nuevo, Estados Unidos","Sudoeste Nuevo (Estados Unidos)","Sudoeste nuevo (Estados Unidos)","Estados Unidos Sudoeste Nuevo","","","","","","","","","","","","","","","","",""
"Roosevelt, Franklin D.$$qFranklin Delano","Roosevelt, Franklin D$$qFranklin Delano","Roosevelt, Franklin D.$$q(Franklin Delano)","Roosevelt, Franklin D$$q(Franklin Delano)","","","","","","","","","","","","","","","","",""
"Jung, C. G$$qCarl Gustav","Jung, C. G.$$qCarl Gustav","Jung, C. G.$$q(Carl Gustav)","Jung, C. G$$qCarl Gustav,","","","","","","","","","","","","","","","","",""
"Tanizaki, Junichiro","Tanizaki, Jun'ichiro","Tanizaki, Jun?ichiro?","Tanizaki, Junichirô","","","","","","","","","","","","","","","","",""
"Período neolítico","Período Neolítico","Periódo neolítico","Periodo neolítico","","","","","","","","","","","","","","","","",""
"Océano Atlántico","Oceáno Atlántico","Oceano Atlántico","Atlántico, Océano","","","","","","","","","","","","","","","","",""
"Câmara, Hélder Pessoa","Cámara, Helder Pessoa","Câmara, Helder Pessoa","Camára, Hélder Pessoa","","","","","","","","","","","","","","","","",""
"Natsume, Soseki","Soseki, Natsume","Natsume, Sôseki","Natsume, Sõseki","","","","","","","","","","","","","","","","",""
"Mújica Láinez, Manuel","Mújica Lainez, Manuel","Mujica Láinez, Manuel","Mujica Lainez, Manuel","","","","","","","","","","","","","","","","",""
"Legazpi, Miguel López de","López de Legazpi, Miguel","Lopéz de Legazpi, Miguel","Legazpi, Miguel López de","","","","","","","","","","","","","","","","",""
"Jesus, Carolina Maria de","Jesús, Carolina María de","Jesús, Carolina Maria de","Carolina María de Jesús","","","","","","","","","","","","","","","","",""
"Brézhnev, Leonid Ilich","Brezhnev, Leonid Il'ich","Brezhnev, Leonid Ilich","Brézhnev, Leonid Il'ich","","","","","","","","","","","","","","","","",""
"São Francisco (Río), Brasil","São Francisco, río, Brasil","São Francisco, Río, Brasil","São Francisco, Brasil (Río)","","","","","","","","","","","","","","","","",""
"Rodríguez, Abelardo L$$qAbelardo Luján","Rodríguez, Abelardo L.$$q(Abelardo Luján)","Rodríguez, Abelardo L.$$q(Abelardo Lujàn)","Rodríguez, Abelardo L$$qAbelardo Lujan","","","","","","","","","","","","","","","","",""
"Ouro Prêto (Brasil)","Ouro Prêto, Brasil","Ouro Preto, Brasil","Ouro, Prêto, Brasil","","","","","","","","","","","","","","","","",""
"Naucalpan de Júarez, México (Estado)","Naucalpan de Juárez, México (Estado)","Naucalpán de Juárez, México (Estado)","Naucalpan de Juárez (Estado de México, México)","","","","","","","","","","","","","","","","",""
"Guerra mundial, 1939-****","Guerra mundial, 1939-","Guerra mundial, 1939","Guerra mundial 1939-****","","","","","","","","","","","","","","","","",""
"Gogol, Nikolai Vasilevich","Gogol, Nikolaî Vasil'evich","Gogol, Nikolai Vasilévich","Gogol, Nikolai Vasil'evich","","","","","","","","","","","","","","","","",""
"Ben-Gurion, David","Ben-Gurión, David","Ben Gurión, David","Ben Gurion, David","","","","","","","","","","","","","","","","",""
"'Ali ibn Abi Talib","Ali ibn Abi Talib","'Alï ibn Abï Tälib","'Alí ibn Abi Talib","","","","","","","","","","","","","","","","",""
"Puebla (Puebla, México: Municipio)","Puebla (Puebla, México : Municipio)","Puebla (México: Municipio)","Puebla (México : Municipio)","","","","","","","","","","","","","","","","",""
"Musée National du Louvre (París)","Musée National du Louvre, París","Musée National du Louvre, Paris","Musee National du Louvre, Paris","","","","","","","","","","","","","","","","",""
"K'ang Yu-wei","Kang, Yu-wei","K'ang, Yu-wei","K'ang, Yu-Wei","","","","","","","","","","","","","","","","",""
"Ibn al-Arabî","Ibn al-°Arab¯i","Ibn al-`Arabi","Ibn al-Arabi","","","","","","","","","","","","","","","","",""
"Alva Ixtlilxóchitl, Fernando de","Ixtlilxóchitl, Fernando de Alva","Ixtlilxochitl, Fernando de Alva","Alva Ixtlilxochitl, Fernando de","","","","","","","","","","","","","","","","",""
"al-Afghani, Jamal al-Din","Al-Afghãni, Jamãl al Din","Al Afghani Jamal al-Din","Afghani, Jamal al-Din","","","","","","","","","","","","","","","","",""
"São Paulo, Brazil","São Paulo (Brazil)","Sao Paulo (Brazil)","Sa?o Paulo (Brazil)","","","","","","","","","","","","","","","","",""
"México (Ciudad) Hospital de Jesús","Hospital de Jesús, México (Ciudad)","Hospital de Jesús (Ciudad de México, México)","Hospital de Jesús (Ciudad de México)","","","","","","","","","","","","","","","","",""
"Países subdesarrollados","Paises subdesarrollados","Países Subdesarrollados","","","","","","","","","","","","","","","","","",""
"Gran Bretaña","Gran bretaña","Gran Bretaña ","","","","","","","","","","","","","","","","","",""
"Chile","Chile.","[Chile]","","","","","","","","","","","","","","","","","",""
"Cuba","Cuba.","cuba","","","","","","","","","","","","","","","","","",""
"Petróleo","Petroleo","Petroléo","","","","","","","","","","","","","","","","","",""
"Población","Poblacion","Población ","","","","","","","","","","","","","","","","","",""
"Derechos civiles","derechos civiles","Derechos Civiles","","","","","","","","","","","","","","","","","",""
"Política mundial","política mundial","Politica mundial","","","","","","","","","","","","","","","","","",""
"Planificación regional","Planificacion regional","Planificacion Regional","","","","","","","","","","","","","","","","","",""
"Literatura española","Literatura Española","LIteratura española","","","","","","","","","","","","","","","","","",""
"Natalidad, Limitación de la","Natalidad, limitación de la","Natalidad, Limitacion de la","","","","","","","","","","","","","","","","","",""
"Lenguaje y lenguas","Lenguas y lenguaje","Lenguaje y Lenguas","","","","","","","","","","","","","","","","","",""
"Política ambiental","Politica ambiental","Política ambiental ","","","","","","","","","","","","","","","","","",""
"Canadá","Canada","Canada.","","","","","","","","","","","","","","","","","",""
"Tecnología","Tecnologia","Tecnólogia","","","","","","","","","","","","","","","","","",""
"Finanzas públicas","Finanzas publicas","Finanzas Públicas","","","","","","","","","","","","","","","","","",""
"Administración pública","Administración Pública","Administración pública.","","","","","","","","","","","","","","","","","",""
"Política económica","Política ecónomica","Política Económica","","","","","","","","","","","","","","","","","",""
"Protección del medio ambiente","Medio ambiente, Protección del","Medio ambiente, Protección del ","","","","","","","","","","","","","","","","","",""
"Globalización","Globalizacion","Globalización ","","","","","","","","","","","","","","","","","",""
"Reforma agraria","Reforma Agraria","Reforma agraría","","","","","","","","","","","","","","","","","",""
"Clases sociales","clases sociales","Clases Sociales","","","","","","","","","","","","","","","","","",""
"Caribe, Area del","Caríbe, Area del","Caribe, area del","","","","","","","","","","","","","","","","","",""
"Poesía española","Poesia española","Poesía Española","","","","","","","","","","","","","","","","","",""
"Agricultura y Estado","Agricultura y estado","Agrícultura y estado","","","","","","","","","","","","","","","","","",""
"Migración interna","Migracion interna","Migración Interna","","","","","","","","","","","","","","","","","",""
"Islam","Islám","Islam ","","","","","","","","","","","","","","","","","",""
"Derechos humanos","Derechos Humanos","derechos humanos","","","","","","","","","","","","","","","","","",""
"Historiografía","Historiografía.","Historiografía ","","","","","","","","","","","","","","","","","",""
"Emigración e inmigración","Emigración e inmigración.","Emigración e inmigracion","","","","","","","","","","","","","","","","","",""
"Antropología","Antropologia","Antropología.","","","","","","","","","","","","","","","","","",""
"América del Sur","America del Sur","América del sur","","","","","","","","","","","","","","","","","",""
"Civilización","Civilización ","Civilizacion","","","","","","","","","","","","","","","","","",""
"Marx, Karl","Marx, karl","Karl, Marx","","","","","","","","","","","","","","","","","",""
"Liberalismo","Liberalismo.","LIberalismo","","","","","","","","","","","","","","","","","",""
"Ecología humana","Ecologia humana","Ecología Humana","","","","","","","","","","","","","","","","","",""
"Servicios de información","Servicios de Información","Información, Servicios de","","","","","","","","","","","","","","","","","",""
"Opinión pública","Opinión públíca","Opinion pública","","","","","","","","","","","","","","","","","",""
"Estética","Estetica","Estética.","","","","","","","","","","","","","","","","","",""
"Análisis del discurso","Analisis del discurso","Análisis del discurso ","","","","","","","","","","","","","","","","","",""
"Jesucristo","jesucristo","Jesucristo ","","","","","","","","","","","","","","","","","",""
"Poesía","Poesía.","Poesia","","","","","","","","","","","","","","","","","",""
"Teatro español","Teatro Español","Teatro español ","","","","","","","","","","","","","","","","","",""
"Psicoanálisis","Psicoanalisis","Psicoanalísis","","","","","","","","","","","","","","","","","",""
"Estado de México (México)","Estado de México (México : Estado)","México (Estado de México)","","","","","","","","","","","","","","","","","",""
"Iglesia y estado","Iglesia y Estado","Iglesia y estado ","","","","","","","","","","","","","","","","","",""
"Chiapas","chiapas","Chiapas ","","","","","","","","","","","","","","","","","",""
"Jalisco (México)","Jalisco (Mexico)","Jalisco, México","","","","","","","","","","","","","","","","","",""
"Borges, Jorge Luis","Borges, Jorge Luis,","Borges, Jorge Luís","","","","","","","","","","","","","","","","","",""
"Veracruz-Llave (México : Estado)","Veracruz-LLave (México : Estado)","Veracruz-Llave (México: Estado)","","","","","","","","","","","","","","","","","",""
"Bibliotecas universitarias","Bibliotecas universitarias ","Bibliotecas Universitarias","","","","","","","","","","","","","","","","","",""
"Indios, Tratamiento de","Indios, tratamiento de","Indios Tratamiento de","","","","","","","","","","","","","","","","","",""
"Política social","Política Social","Politica social","","","","","","","","","","","","","","","","","",""
"Tecnología de la información","Tecnología de la informacion","Tecnología de la Información","","","","","","","","","","","","","","","","","",""
"Automóviles","Autómoviles","Automoviles","","","","","","","","","","","","","","","","","",""
"Cultura política","Cultura politica","Cultura Política","","","","","","","","","","","","","","","","","",""
"Tenencia de la tierra","Tenencia de la Tierra","Tierra, Tenencia de la","","","","","","","","","","","","","","","","","",""
"Publicidad","Públicidad","Publicidad.","","","","","","","","","","","","","","","","","",""
"Control de la natalidad","Natalidad, Control de la","Control de la Natalidad","","","","","","","","","","","","","","","","","",""
"Corrupción política","Corrupcion política","Corrupción politica","","","","","","","","","","","","","","","","","",""
"Asia Oriental","Asia oriental","Asia, Oriental","","","","","","","","","","","","","","","","","",""
"Martí, José","Martí José","Marti, José","","","","","","","","","","","","","","","","","",""
"Díaz, Porfirio","Diaz, Porfirio","Díaz, Porfirio,","","","","","","","","","","","","","","","","","",""
"Lógica","Lógica.","Logica","","","","","","","","","","","","","","","","","",""
